,ticker,figi,type,name
354,ZBRA,BBG000CC7LQ7,shares,Zebra Technologies Corp
355,ASO,BBG00X7L1C14,shares,Academy Sports & Outdoors
356,CXW,BBG000BJSJT2,shares,CoreCivic
357,SHOO,BBG000BLV2Q3,shares,"Steven Madden, Ltd."
358,VVX,BBG005PG80K4,shares,"V2X, Inc."
359,GSHD,BBG00KHHBMC5,shares,"Goosehead Insurance, Inc."
360,BLDR,BBG000BKD3K9,shares,Builders FirstSource Inc
361,DIOD,BBG000G25P51,shares,Diodes Inc
362,CSGS,BBG000G3TQV2,shares,CSG Systems International Inc
363,AFMD,BBG006R5SSH5,shares,Affimed NV
364,HI,BBG000KT0GV3,shares,Hillenbrand
365,ZTS,BBG0039320N9,shares,Zoetis
366,PRLB,BBG000BT13B3,shares,Proto Labs Inc
367,KMAZ,BBG000LNHHJ9,shares,КАМАЗ
368,AEM,BBG000DLVDK3,shares,Agnico Eagle Mines
369,INTU,BBG000BH5DV1,shares,Intuit
370,BRBR,BBG013QNJHP8,shares,BellRing Brands
371,KZOS,BBG0029SFXB3,shares,ПАО «КАЗАНЬОРГСИНТЕЗ»
372,CHRW,BBG000BTCH57,shares,C.H. Robinson Worldwide
373,NHI,BBG000CGWSJ3,shares,National Health Investors REIT
374,ORI,BBG000C4PLF7,shares,Old Republic International Corporation
375,BBSI,BBG000BHJSC4,shares,Barrett Business Services Inc
376,RAMP,BBG000BB4HM6,shares,LiveRamp Holdings Inc
377,LII,BBG000BB5B84,shares,Lennox International Inc
378,FIXP,BBG00ZHCX1X2,shares,Fix Price Group
379,EA,BBG000BP0KQ8,shares,Electronic Arts
380,PACB,BBG000QKXH20,shares,Pacific Biosciences of California
381,CDNA,BBG006JS5785,shares,CareDx Inc
382,SKM,BBG000BLN497,shares,SK Telecom Co.
383,PEP,BBG000DH7JK6,shares,PepsiCo
384,IAC,BBG00S1LR2C3,shares,IAC Inc
385,TCX,BBG000L69KL5,shares,Tucows Inc
386,PHOR,BBG004S689R0,shares,ФосАгро
387,MOH,BBG000MBHNC8,shares,Molina Healthcare Inc
388,DLTH,BBG002GBMZG4,shares,Duluth Holdings Inc
389,RRX,BBG000BRXTR8,shares,Regal Rexnord
390,OSUR,BBG000J3D1Y8,shares,OraSure Technologies Inc
391,ORLY,BBG000BGYWY6,shares,O'Reilly Automotive
392,AIR,BBG000BBGQF1,shares,AAR Corp
393,AVNS,BBG005L86G05,shares,Avanos Medical Inc
394,ALT,BBG000FXML90,shares,Altimmune
395,CBRE,BBG000C04224,shares,CBRE Group
396,DUK,BBG000BHGDH5,shares,Duke Energy Corp
397,BWXT,BBG000D86F25,shares,BWX Technologies
398,MSGS,BBG007FG0C23,shares,Madison Square Garden Sports Corp.
399,RS,BBG000CJ2181,shares,Reliance Steel & Aluminum Co
400,914,BBG000BVKWW0,shares,Anhui Conch Cement
401,SGMO,BBG000BHYT80,shares,Sangamo Therapeutics
402,HHRU,TCS2207L1061,shares,HeadHunter Group PLC
403,CMI,BBG000BGPTV6,shares,Cummins
404,MHO,BBG000BL9MZ4,shares,M/I Homes Inc
405,PRTS,BBG000N26V95,shares,CarParts.com
406,CAH,BBG000D898T9,shares,Cardinal Health
407,UCTT,BBG000HSLV70,shares,Ultra Clean Holdings Inc
408,QTWO,BBG005ZVK9P2,shares,Q2 Holdings Inc
409,ULTA,BBG00FWQ4VD6,shares,Ulta Beauty
410,VMI,BBG000BWB7V4,shares,Valmont Industries
411,868,BBG000LG6G08,shares,Xinyi Glass Holdings
412,VRSN,BBG000BGKHZ3,shares,VeriSign
413,ABBV,BBG0025Y4RY4,shares,AbbVie
414,KEY,BBG000BMQPL1,shares,KeyCorp
415,LNZL,BBG000SK7JS5,shares,Лензолото
416,ALG,BBG000BJTZX0,shares,Alamo Group Inc.
417,PLCE,BBG000JK9DK4,shares,Children's Place Inc The
418,CACI,BBG000KQY8Y7,shares,CACI International
419,LEA,BBG000PTLGZ1,shares,Lear Corp
420,VST,BBG00DXDL6Q1,shares,Vistra
421,MGTSP,BBG000PZ0833,shares,МГТС - акции привилегированные
422,ZWS,BBG000H8R0N8,shares,Zurn Elkay Water Solutions
423,WTS,BBG000C4Z6C2,shares,Watts Water Technologies Inc
424,OGE,BBG000BQGLS5,shares,OGE Energy Corp.
425,JBSS,BBG000CHPMY5,shares,John B Sanfilippo & Son Inc
426,ELFV,BBG000F6YPH8,shares,ЭЛ5-Энерго
427,9992,BBG00Y9WVZ76,shares,Pop Mart
428,TSP,BBG00ZSDS6T8,shares,TuSimple Holdings
429,PKG,BBG000BB8SW7,shares,Packaging Corp of America
430,DMTK,BBG00H19F184,shares,DermTech
431,MDB,BBG0022FDRY8,shares,MongoDB Inc
432,NOK,BBG000BNGBW9,shares,Nokia
433,WH,BBG00HCY3Q67,shares,Wyndham Hotels & Resorts
434,UDR,BBG000C41023,shares,UDR REIT
435,BLK,BBG000C2PW58,shares,BlackRock
436,PENN,BBG000CDZLV8,shares,PENN Entertainment
437,WFC,BBG000BWQFY7,shares,Wells Fargo & Company
438,SELG,BBG002458LF8,shares,Селигдар
439,OKE,BBG000BQHGR6,shares,ONEOK
440,SIVB,BBG000BT0CM2,shares,SVB Financial Group
441,OMC,BBG000BS9489,shares,Omnicom Group
442,ZYXI,BBG000BJBXZ2,shares,Zynex Inc
443,USNA,BBG000BX28M0,shares,USANA Health Sciences Inc
444,AGCO,BBG000DCCZW2,shares,AGCO Corp
445,HXL,BBG000BLMDQ9,shares,Hexcel Corp
446,RBLX,BBG001R1GCT0,shares,ROBLOX Corp
447,IDCC,BBG000HLJ7M4,shares,InterDigital
448,MTN,BBG000BCMWM1,shares,Vail Resorts Inc
449,NIC,BBG000QK0TG5,shares,Nicolet Bankshares
450,RCL,BBG000BB5792,shares,Royal Caribbean Cruises
451,NOV,BBG000BJX8C8,shares,National Oilwell Varco
452,TOST,BBG00BTJVK94,shares,Toast
453,HWM,BBG00DYNJGH9,shares,Howmet Aerospace
454,TASK,BBG009CL6VK3,shares,TaskUs
455,RETA,BBG000R33BD1,shares,Reata Pharmaceuticals Inc
456,IOSP,BBG000BMFNP4,shares,Innospec
457,TWOU,BBG001KS9450,shares,2U Inc
458,AGRO,BBG007N0Z367,shares,РусАгро
459,GOOGL,BBG009S39JX6,shares,Alphabet Class A
460,IIPR,BBG00F0SW7N8,shares,Innovative Industrial Properties REIT
461,TAL,BBG0016XJ8S0,shares,TAL Education Group
462,GTHX,BBG005F1DK91,shares,G1 Therapeutics Inc
463,TATNP,BBG004S68829,shares,Татнефть - привилегированные акции
464,MUR,BBG000BPMH90,shares,Murphy Oil
465,NDAQ,BBG000F5VVB6,shares,Nasdaq
466,ALLO,BBG00KHRRDX3,shares,Allogene Therapeutics Inc
467,AOS,BBG000BC1L02,shares,A. O. Smith Corporation
